MOF Name,Predicted CO2 Absorption
ja406030p_si_005_manual,79.7
GAGZEV_clean,79.7
XUTQEI_clean,79.7
ANUGEW_clean,79.7
FAHPOV_clean,79.7
DUFKAS_clean,79.7
HAQJIV_clean,79.4
IYEPUZ_clean,79.4
XUDNUH_clean,79.06
MIXZOK_clean,79.06
ja406030p_si_006_manual,79.06
ADATUW_clean,79.06
c6ce00407e_c6ce00407e9_clean,79.06
VETMIS_clean,78.75
ja507269n_si_002_clean,78.75
PODKOK_clean,78.75
UDANIY_clean,78.44
ONEYIQ_clean,78.44
EDUWAB_clean,78.44
DOZCEC_clean,78.44
QIYDAF_clean,78.44
XOXMED_clean,78.1
UGEMOK_clean,78.1
WAWGOQ_clean,78.1
REZXUQ_clean,78.1
LIBHAH_clean,77.8
ALAMUW_clean,77.8
OKUTAR_clean,77.5
FEWXEM_clean,77.5
ASINEX_clean,77.5
OPIFUQ_clean,77.5
NIBHOW_clean,77.5
OLICIX_clean,77.5
RUBDUP_clean,77.5
SUGDIJ_auto,77.2
cg500175k_si_001_auto,77.2
NAYZOE_clean,76.9
QAQMON_clean,76.9
RANCEQ_clean,76.9
IVEKEA_clean,76.9
KAWHEY_clean,76.6
ADAVAE_clean,76.6
TEMPEI_clean,76.6
EDUVOO_clean,76.6
XEBHOC_clean,76.6
ja5103103_si_002_auto,76.6
XUKYEI_neutral,76.3
EFAYEQ_clean_h,76.3
WIYMOG_charged,76.3
BIBXOB_clean,76.3
XAHQAA_clean,76.0
ja078060t-file002_clean,75.7
KULMEK_clean,75.7
NAFSOF_clean,75.4
XOVPUU_clean,75.4
jacs.6b06759_ja6b06759_si_002_clean,75.4
OTALUS_clean,75.4
ja406030p_si_003_clean,75.4
APUPEH_clean,75.1
LEJCEK_clean,75.1
XAWVUN_clean,75.1
ICAQOU_clean,75.1
ICAROV_clean,74.8
EDUVEE_clean,74.8
YUGZIK_clean,74.8
ODIXEG_clean,74.8
FORXAM_clean,74.8
ICAQIO_clean,74.8
EGEJIK_manual,74.8
ALULEZ_clean,74.8
ja3082523_si_004_clean,74.5
CUSXOE_clean,74.5
jacs.6b06759_ja6b06759_si_004_clean,74.5
ABETIN_clean,74.5
ILITON_clean,74.5
ja5131269_si_002_clean,74.2
IYOWID_manual,74.2
FAGQAI_clean,74.2
ic502643m_si_011_clean,74.2
EPISOM_clean,74.2
ALEJEI_clean,73.94
RUVKAV_clean,73.94
FIFGIM_clean,73.94
ELERIY_clean,73.94
BINDAF_manual,73.94
ja5b00450_si_002_clean,73.94
IMUKUW_clean,73.6
XUFYAA_clean,73.6
HAFTOZ_clean,73.6
ILITUT_manual,73.6
YAVWUQ_clean,73.6
ADATEG_manual,73.6
SUNLET_clean,73.6
HUZXOR_clean,73.6
TOVJIZ_clean,73.3
HULCOI_clean,73.3
KOZQEX_clean,73.3
XUDPIX_clean,73.3
ZIVCOY_clean,73.3
CAVPIA_manual,73.3
KOJZEP_manual,73.06
jacs.6b01663_ja6b01663_si_003_clean,73.06
OLOGEC_clean,73.06
EDUVUU_clean,73.06
EDUVII_clean,73.06
CEKNIQ_clean,73.06
XOVQAB_clean,73.06
FUNCEX_clean,72.75
cm303749m_si_002_clean,72.75
OXOLAP_SL,72.75
RAYMOV_clean,72.75
ZELROZ_manual,72.75
TOVKIA_clean,72.5
acs.inorgchem.6b01740_ic6b01740_si_002_clean,72.5
CAVPEW_manual,72.5
LIKDOA_clean,72.5
POBGAQ_clean,72.5
VEWKUF_clean,72.5
MUWQEB_clean,72.5
ADASIJ_clean,72.5
jacs.6b08724_ja6b08724_si_012_clean,72.2
XAHPUT_clean,72.2
ENITAX_clean,72.2
ATEYOP_clean,72.2
OMITUB_clean,71.9
CAVPUM_manual,71.9
LAQNOJ_clean,71.9
c6ce00407e_c6ce00407e1_clean,71.6
BAZJET_clean,71.6
CAYQOK_clean,71.3
QAHDUA_clean,71.3
WITKIV_clean,71.3
MUDTAH_clean,71.3
ic800131r-file003_clean,71.06
MUDTEL_clean,71.06
cm303749m_si_001_clean,71.06
c6ce00407e_c6ce00407e2_clean,71.06
RAHNOF_clean,71.06
GAGQAI_clean,70.75
KEQDER_clean,70.75
jacs.6b01345_ja6b01345_si_001_clean,70.75
cg400449c_si_001_clean,70.75
YABHER_clean,70.75
EFAYIU_clean,70.75
WEBJOE_clean,70.5
XIGFOJ_manual,70.5
YODWOF_clean,70.5
HEXVEM_clean,70.5
DITJOH_clean,70.5
HAVZIP_clean,70.5
POTREX_clean,70.5
BINCUY_manual,70.5
ATEYUV_clean,70.5
POHWIU_clean,70.5
ADAVEI_clean,70.2
ic502643m_si_012_clean,70.2
XAMHEA_manual,70.2
ADATIK_clean,70.2
PUWDAM_clean,69.94
JOGSAA_clean,69.94
VUJBIM_clean,69.6
YUZPOA_clean,69.6
ZAHLEC_clean,69.6
ja809985t_si_002_clean,69.6
VUJBEI_clean,69.6
MILROQ_clean,69.6
WAVROC_clean,69.6
NIGDIS_clean,69.6
BUNKUS_clean,69.6
FIDRIV_clean,69.6
ATEYED_clean,69.6
SUKYON_clean,69.6
ZACHET_clean,69.4
LUTZEH_clean,69.4
VACLIX_clean,69.4
HOMXIR_manual,69.4
ADUROI_clean,69.1
LUWNAU_clean,69.1
COCMUE_clean,69.1
CUQSAK_clean,69.1
PIVBEC_clean,69.1
QEBKUF_SL,69.1
XUDPOD_clean,69.1
GUPBOJ03_clean,69.1
LUWMUN_clean,69.1
IZEPAF_clean,69.1
ADASAB_charged,69.1
CESFOW_clean,68.8
XUFYEE_clean,68.8
GEBPEK_clean,68.8
ALEJIM_clean,68.56
c6cc03787a_c6cc03787a2_clean,68.56
ja406030p_si_009_manual,68.56
DAMYUO_clean,68.56
c6dt03852b_c6dt03852b2_clean,68.56
VOLQOD_clean,68.3
BIPSUQ_clean,68.3
c6ce00407e_c6ce00407e7_clean,68.3
NIBJAK_clean,68.3
COCNEP_clean,68.3
WAQKUX_clean,68.3
jacs.6b06759_ja6b06759_si_003_clean,68.3
JEWYAM_charged,68.3
XOVQEF_SL,68.3
HUZXIL_clean,68.3
PUZLUS_clean,68.3
UBULIO_SL,68.0
SETTAO_clean,68.0
ic101935f_si_002_auto,68.0
acs.inorgchem.6b00276_ic6b00276_si_006_clean,68.0
acscombsci.5b00188_5020072_clean,68.0
OMIPEH_clean,68.0
YODWUL_clean,67.75
GISNED_clean,67.75
RUTNOK_manual,67.75
LEQBUG_clean,67.75
acs.chemmater.5b03723_cm5b03723_si_004_clean,67.75
REWNEO_clean,67.75
WAMREJ_clean,67.5
OKABEI_clean,67.5
NIGDEO_clean,67.5
WOYJEB_clean,67.5
QUTDAM_clean,67.2
WUKXEH_clean,67.2
UKIQOV_clean,67.2
AVAKAL_clean,67.2
FIBKEI_clean,67.2
PEWLUA_clean,67.2
QAHDOU_clean,67.2
SERLEI_clean,67.2
QEPZUH_charged,67.2
JOJKUQ_clean,66.94
cm901983a_si_001_clean,66.94
HIFGIO_SL,66.94
KARLUM_clean,66.94
XODPUD_clean,66.94
LUYHAP_clean,66.7
XALTIP_clean,66.7
SUPQAW_clean,66.7
RAVVUH_clean,66.44
OYEWIA_clean,66.44
NEYVEU_clean,66.44
JENKET_SL,66.44
DOFTOJ_clean,66.44
UHUPOD01_clean,66.44
BEWCUD_clean,66.44
AGOVOJ_clean,66.44
KUJNEJ_clean,66.44
GADNUX_clean,66.44
WASQEP_clean,66.44
LEVDIB_clean,66.2
c6ce00465b_c6ce00465b2_clean,66.2
OJICUG_clean,66.2
VOXTOT_clean,66.2
UMOVID_clean,66.2
EDUTUS_clean,66.2
UQETOB_clean,66.2
WARXUL_clean,66.2
KOJZIT_clean,66.2
MOYYIJ_clean,65.9
KIYTOD_clean,65.9
LASDEQ_clean,65.9
WANHIF_clean,65.9
ASINIB_clean,65.9
ECOKAJ_clean,65.9
UMOBEF_clean,65.9
c6ta00429f_c6ta00429f2_clean,65.9
EMIYUW_clean,65.9
ja501810r_si_002_clean,65.6
ADASOP_clean,65.6
ja411887c_si_002_clean,65.6
ASIVEF_clean,65.6
BICPUA_clean,65.6
OSOTIB_clean,65.4
ja5b02999_si_006_clean,65.4
WASQIT_clean,65.4
HOGLEV_clean,65.4
UMOVOJ_clean,65.1
UCAJUF_clean,65.1
ZOFZUR_clean,65.1
TOFTIT_clean,65.1
ja5b02999_si_002_clean,65.1
REWNEO01_clean,65.1
ja110042b_si_003_clean,65.1
ENIHUG_clean,64.9
KACZEV_clean,64.9
ja403810k_si_002_clean,64.9
BAWROI_clean,64.9
