,name,gas-name,gas-CriticalTemp,gas-CriticalPressure,gas-AcentricFactor,gas-MolecularWeight,gas-MeltPoint,gas-BoilingPoint,temperature,pressure
55,acs.inorgchem.6b00894_ic6b00894_si_002_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
56,acs.inorgchem.6b00894_ic6b00894_si_003_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
57,acs.inorgchem.6b01211_ic6b01211_si_002_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
58,acs.inorgchem.6b01416_ic6b01416_si_004_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
59,acs.inorgchem.6b01569_ic6b01569_si_002_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
60,acs.inorgchem.6b01740_ic6b01740_si_002_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
61,acs.inorgchem.6b01762_ic6b01762_si_002_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
62,acs.inorgchem.6b02407_ic6b02407_si_002_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
63,acs.inorgchem.6b02407_ic6b02407_si_003_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
64,acs.inorgchem.6b02413_ic6b02413_si_002_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
65,acs.inorgchem.6b02514_ic6b02514_si_002_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
66,acs.inorgchem.6b02696_ic6b02696_si_002_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
67,acs.jchemed.6b00258_ed6b00258_si_005_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
68,acs.jpcc.6b04690_jp6b04690_si_005_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
69,acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
70,acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
71,acscombsci.5b00188_24205_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
72,acscombsci.5b00188_3001288_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
73,acscombsci.5b00188_34903_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
74,acscombsci.5b00188_5013797_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
75,acscombsci.5b00188_5020072_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
76,acscombsci.5b00188_5024922_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
77,acscombsci.5b00188_5036495_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
78,acscombsci.5b00188_5040209_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
79,acscombsci.5b00188_8372_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
80,ACUBAB_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
81,ACUFEK_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
82,ACUJOZ_manual,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
83,ACUTOI_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
84,ADABIS_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
85,ADABUE_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
86,ADARAA_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
87,ADASAB_charged,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
88,ADASEF_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
89,ADASIJ_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
90,ADASOP_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
91,ADASUV_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
92,ADATAC_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
93,ADATEG_manual,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
94,ADATIK_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
95,ADATOQ_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
96,ADATUW_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
97,ADAVAE_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
98,ADAVEI_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
99,ADAVIM_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
100,ADAXEK_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
101,ADAXIO_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
102,ADEGIA01_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
103,ADEGIA_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
104,ADIQEL_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
105,ADOBAX_charged,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
106,ADOBEB_charged,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
107,ADOBIF_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
108,ADOBOL_charged,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
109,ADOBUR_charged,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
110,ADOCEC_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
111,ADODAA_charged,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
112,ADODII_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
113,ADODOO_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
114,ADODUU_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
115,ADOGEH_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
116,ADUROI_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
117,ADUWIH_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
118,ADUWON_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
119,AFEDIA_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
120,AFEJOK_ion_b,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
121,AFEKAX_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
122,AFENEE_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
123,AFIPAH_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
124,AFITEP_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
125,AFITUF_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
126,AFIXAO_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
127,AFIXES_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
128,AFOQUI_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
129,AFOTOF_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
130,AFOTUL_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
131,AFOVAT_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
132,AFOVEX_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
133,AFOVIB_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
134,AFOVOH_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
135,AFOYAW_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
136,AFOYEB_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
137,AFOYIE_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
138,AFOYOK_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
139,AFUKET_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
140,AFUKIX_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
141,AFUPEX_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
142,AGABIU_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
143,AGARUW_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
144,AGAYIQ_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
145,AGAYOW_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
146,AGESIP_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
147,AGIMOU_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
148,AGIREP_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
149,AGOFEJ_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
150,AGONAM_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
151,AGONEQ_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
152,AGOVOJ_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
153,AGUBUA_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
154,AGUTUS_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
155,AGUVOO_charged,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
156,AGUWUV_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
157,AHAMAY_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
158,AHEBAS_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
159,AHEQAH_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
160,AHINIP_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
161,AHIYOH_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
162,AHIYUN_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
163,AHOBEG_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
164,AHOJUC_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
165,AHOKAJ_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
166,AHOKIR01_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
167,AHOKIR_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
168,AHOKOX_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
169,AHOZAA_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
170,AHUFIU_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
171,AHUTIH01_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
